Frequency [Hz],Maximum [dBm],Minimum [dBm],,
864500000,-74.2993240356445,-89.3662033081055,,
864506349.206349,-74.2993240356445,-89.3662033081055,,
864512698.412698,-78.2767333984375,-93.8823089599609,,
864519047.619048,-74.77392578125,-92.8300552368164,,
864525396.825397,-75.5173492431641,-88.1447219848633,,
864531746.031746,-77.6022872924805,-89.8485412597656,,
864538095.238095,-78.8169403076172,-92.9330444335938,,
864544444.444444,-76.2917327880859,-91.5335388183594,,
864550793.650794,-77.4178085327148,-91.6624069213867,,
864557142.857143,-78.3493728637695,-90.3630905151367,,
864563492.063492,-77.6681671142578,-93.1934051513672,,
864569841.269841,-77.101188659668,-89.2516708374023,,
864576190.47619,-75.9734878540039,-90.7372894287109,,
864582539.68254,-77.3618621826172,-92.2098236083984,,
864588888.888889,-76.8839263916016,-94.0278778076172,,
864595238.095238,-74.3067245483398,-86.98193359375,,
864601587.301587,-75.401008605957,-90.3726425170898,,
864607936.507936,-77.8365020751953,-99.6427154541016,,
864614285.714286,-75.7017211914063,-99.9859466552734,,
864620634.920635,-72.000129699707,-91.5953521728516,,
864626984.126984,-78.5786056518555,-96.375862121582,,
864633333.333333,-76.7588729858398,-86.9141845703125,,
864639682.539683,-76.0439300537109,-83.9474487304688,,
864646031.746032,-78.217658996582,-99.9917297363281,,
864652380.952381,-76.9799423217773,-85.0825271606445,,
864658730.15873,-73.1451644897461,-92.0560455322266,,
864665079.365079,-72.4468994140625,-89.6187438964844,,
864671428.571429,-76.6606597900391,-84.0913619995117,,
864677777.777778,-75.3960266113281,-88.0789337158203,,
864684126.984127,-75.4616775512695,-90.860710144043,,
864690476.190476,-74.9464416503906,-91.6688385009766,,
864696825.396825,-73.9017791748047,-90.3416213989258,,
864703174.603175,-77.5237197875977,-101.526824951172,,
864709523.809524,-74.2326812744141,-86.0392456054688,,
864715873.015873,-75.4928894042969,-82.1591796875,,
864722222.222222,-73.8918762207031,-86.516227722168,,
864728571.428571,-77.8148422241211,-92.0465316772461,,
864734920.634921,-73.9730224609375,-84.2519378662109,,
864741269.84127,-76.9081573486328,-84.6312713623047,,
864747619.047619,-75.1277008056641,-100.050094604492,,
864753968.253968,-79.2706985473633,-91.661979675293,,
864760317.460317,-72.6551742553711,-90.3203582763672,,
864766666.666667,-75.7633209228516,-92.2261505126953,,
864773015.873016,-75.8506698608398,-89.7164001464844,,
864779365.079365,-79.1866226196289,-94.3356323242188,,
864785714.285714,-74.2500076293945,-89.3948822021484,,
864792063.492064,-78.0484466552734,-94.5483245849609,,
864798412.698413,-79.7943344116211,-94.8370666503906,,
864804761.904762,-77.5795440673828,-93.2357177734375,,
864811111.111111,-75.6178894042969,-95.5494537353516,,
864817460.31746,-76.6763000488281,-95.4796905517578,,
864823809.52381,-74.6678466796875,-87.1890182495117,,
864830158.730159,-74.2032699584961,-89.7701416015625,,
864836507.936508,-75.8248138427734,-88.611930847168,,
864842857.142857,-78.0105743408203,-94.4860229492188,,
864849206.349206,-70.7956848144531,-95.8667907714844,,
864855555.555556,-70.7734069824219,-83.3283233642578,,
864861904.761905,-74.0505599975586,-86.6532135009766,,
864868253.968254,-73.6846618652344,-91.0648193359375,,
864874603.174603,-78.054817199707,-95.1891708374023,,
864880952.380952,-74.1528778076172,-89.2679901123047,,
864887301.587302,-79.8296356201172,-89.3740005493164,,
864893650.793651,-76.2214202880859,-86.238037109375,,
864900000,-74.8345642089844,-94.4333877563477,,
864906349.206349,-75.2812881469727,-89.8495712280273,,
864912698.412698,-74.3060531616211,-88.4633178710938,,
864919047.619048,-82.0551300048828,-98.4881591796875,,
864925396.825397,-79.6586074829102,-95.598388671875,,
864931746.031746,-76.5520629882813,-89.7789306640625,,
864938095.238095,-77.7767333984375,-100.689979553223,,
864944444.444444,-75.6299819946289,-90.5316390991211,,
864950793.650794,-74.0595245361328,-82.4678497314453,,
864957142.857143,-72.6703491210938,-87.5870742797852,,
864963492.063492,-75.1828384399414,-93.6672286987305,,
864969841.269841,-78.257568359375,-92.2544326782227,,
864976190.47619,-75.9755859375,-89.8294525146484,,
864982539.68254,-71.9154510498047,-81.704963684082,,
864988888.888889,-72.7308807373047,-92.0976181030273,,
864995238.095238,-76.5937194824219,-92.12353515625,,
865001587.301587,-77.5094757080078,-89.1546020507813,,
865007936.507936,-76.5346221923828,-91.199333190918,,
865014285.714286,-74.4078979492188,-90.1790008544922,,
865020634.920635,-75.097785949707,-87.1432189941406,,
865026984.126984,-71.4802856445313,-86.6944885253906,,
865033333.333333,-71.3305969238281,-87.6770248413086,,
865039682.539683,-73.7234191894531,-94.5197601318359,,
865046031.746032,-75.447395324707,-83.7255401611328,,
865052380.952381,-73.6588592529297,-94.9501953125,,
865058730.15873,-76.565185546875,-89.5001602172852,,
865065079.365079,-78.1253128051758,-88.2215957641602,,
865071428.571429,-79.6543502807617,-92.3506240844727,,
865077777.777778,-75.0571746826172,-93.6191711425781,,
865084126.984127,-75.0916748046875,-94.4917144775391,,
865090476.190476,-75.5764236450195,-88.8446044921875,,
865096825.396825,-77.8122482299805,-88.8737716674805,,
865103174.603175,-74.3385314941406,-85.1479644775391,,
865109523.809524,-73.4500885009766,-89.181266784668,,
865115873.015873,-70.5535430908203,-92.576416015625,,
865122222.222222,-71.6444320678711,-92.3432464599609,,
865128571.428571,-73.4930877685547,-88.1315155029297,,
865134920.634921,-72.8217620849609,-99.0980453491211,,
865141269.84127,-72.7178955078125,-92.7446441650391,,
865147619.047619,-78.5289764404297,-89.4494857788086,,
865153968.253968,-72.1143646240234,-84.9336547851563,,
865160317.460317,-74.7071228027344,-96.2599639892578,,
865166666.666667,-72.5772933959961,-89.4546585083008,,
865173015.873016,-78.0499649047852,-87.1096954345703,,
865179365.079365,-77.2239532470703,-88.1612854003906,,
865185714.285714,-71.842887878418,-88.1388549804688,,
865192063.492064,-77.8585586547852,-89.201301574707,,
865198412.698413,-77.1011199951172,-89.8981628417969,,
865204761.904762,-75.7774963378906,-89.4806671142578,,
865211111.111111,-74.3654708862305,-97.9587707519531,,
865217460.31746,-76.3343200683594,-90.2202072143555,,
865223809.52381,-73.2079849243164,-86.6562271118164,,
865230158.730159,-79.0908508300781,-89.2859802246094,,
865236507.936508,-76.9638519287109,-95.7792358398438,,
865242857.142857,-78.2632217407227,-84.9862670898438,,
865249206.349206,-73.7951431274414,-90.0028610229492,,
865255555.555556,-73.4385070800781,-84.1729583740234,,
865261904.761905,-77.2165756225586,-89.3457336425781,,
865268253.968254,-75.671501159668,-86.3860244750977,,
865274603.174603,-76.0678558349609,-90.4799880981445,,
865280952.380952,-77.2114410400391,-101.701568603516,,
865287301.587302,-75.2486038208008,-93.2750549316406,,
865293650.793651,-75.258415222168,-91.7124938964844,,
865300000,-73.9773864746094,-95.6187515258789,,
865306349.206349,-76.3992156982422,-86.9778289794922,,
865312698.412698,-75.9907302856445,-89.5767822265625,,
865319047.619048,-77.0195388793945,-88.9303512573242,,
865325396.825397,-75.3500061035156,-88.7844085693359,,
865331746.031746,-71.4376068115234,-88.0302581787109,,
865338095.238095,-72.9155578613281,-89.4213638305664,,
865344444.444444,-75.6976852416992,-87.2861404418945,,
865350793.650794,-75.3000869750977,-87.933464050293,,
865357142.857143,-77.0061798095703,-95.1045684814453,,
865363492.063492,-73.8032150268555,-90.2331848144531,,
865369841.269841,-76.0602111816406,-93.1278533935547,,
865376190.47619,-76.8211898803711,-92.2896041870117,,
865382539.68254,-74.7047424316406,-92.1986083984375,,
865388888.888889,-75.2785797119141,-90.2426376342773,,
865395238.095238,-75.3986511230469,-92.923469543457,,
865401587.301587,-74.5533676147461,-86.0565643310547,,
865407936.507936,-77.6133270263672,-96.1349182128906,,
865414285.714286,-72.2321701049805,-91.1921157836914,,
865420634.920635,-74.608512878418,-86.5793838500977,,
865426984.126984,-73.7470703125,-87.2562484741211,,
865433333.333333,-76.1870269775391,-88.5996551513672,,
865439682.539683,-73.816535949707,-91.6181030273438,,
865446031.746032,-75.5374450683594,-93.5541305541992,,
865452380.952381,-73.6088256835938,-95.8184280395508,,
865458730.15873,-76.1444396972656,-93.8658752441406,,
865465079.365079,-76.5222778320313,-93.3233337402344,,
865471428.571429,-74.0800094604492,-86.8452758789063,,
865477777.777778,-74.8040161132813,-91.419792175293,,
865484126.984127,-74.2355804443359,-93.8860321044922,,
865490476.190476,-78.6136093139648,-90.2805404663086,,
865496825.396825,-77.55908203125,-89.5887298583984,,
865503174.603175,-77.6657333374023,-84.8374557495117,,
865509523.809524,-76.3760070800781,-90.0356750488281,,
865515873.015873,-77.2394256591797,-92.2772827148438,,
865522222.222222,-73.4080276489258,-84.8937530517578,,
865528571.428571,-75.7137145996094,-85.3007659912109,,
865534920.634921,-74.7891082763672,-85.3536834716797,,
865541269.84127,-74.250846862793,-91.0092315673828,,
865547619.047619,-75.5550994873047,-90.844612121582,,
865553968.253968,-76.6580123901367,-84.0810775756836,,
865560317.460317,-76.1322326660156,-86.2282409667969,,
865566666.666667,-73.1437911987305,-86.778450012207,,
865573015.873016,-76.2945327758789,-91.7570571899414,,
865579365.079365,-74.7620849609375,-87.1687088012695,,
865585714.285714,-71.5195770263672,-85.131103515625,,
865592063.492064,-73.6944732666016,-88.8889999389648,,
865598412.698413,-76.0887832641602,-89.8936614990234,,
865604761.904762,-77.6986770629883,-94.9916305541992,,
865611111.111111,-75.3926849365234,-87.8603363037109,,
865617460.31746,-73.2141265869141,-94.3034744262695,,
865623809.52381,-75.2141036987305,-84.79443359375,,
865630158.730159,-75.7403259277344,-89.0997543334961,,
865636507.936508,-72.4965209960938,-91.4151000976563,,
865642857.142857,-73.6666564941406,-89.7558288574219,,
865649206.349206,-70.1844177246094,-81.7035598754883,,
865655555.555556,-72.1298446655273,-90.4110488891602,,
865661904.761905,-72.5707702636719,-89.6485595703125,,
865668253.968254,-73.4222564697266,-88.0679702758789,,
865674603.174603,-73.4610137939453,-80.4638595581055,,
865680952.380952,-73.2011337280273,-88.4958572387695,,
865687301.587302,-73.1379547119141,-83.8199310302734,,
865693650.793651,-76.2246627807617,-91.9236602783203,,
865700000,-75.9726028442383,-88.127326965332,,
865706349.206349,-72.8093032836914,-86.7615737915039,,
865712698.412698,-75.8603057861328,-87.3192596435547,,
865719047.619048,-72.6687469482422,-81.101921081543,,
865725396.825397,-75.4386978149414,-84.136100769043,,
865731746.031746,-74.2970428466797,-87.1417236328125,,
865738095.238095,-72.4760894775391,-87.8774261474609,,
865744444.444444,-72.0575942993164,-89.7754211425781,,
865750793.650794,-72.6842880249023,-88.5816802978516,,
865757142.857143,-73.6348571777344,-87.1297073364258,,
865763492.063492,-76.9569702148438,-87.2192077636719,,
865769841.269841,-74.9608535766602,-83.1910400390625,,
865776190.47619,-70.298698425293,-81.4972152709961,,
865782539.68254,-70.8384475708008,-88.7273635864258,,
865788888.888889,-69.8900756835938,-82.8124847412109,,
865795238.095238,-69.5809173583984,-81.4964828491211,,
865801587.301587,-71.7243347167969,-82.4847259521484,,
865807936.507936,-69.0975799560547,-82.7343597412109,,
865814285.714286,-70.2516326904297,-76.6506958007813,,
865820634.920635,-75.8648071289063,-84.8562088012695,,
865826984.126984,-71.604133605957,-83.8560333251953,,
865833333.333333,-70.6157760620117,-83.6034774780273,,
865839682.539683,-73.4021606445313,-86.7079467773438,,
865846031.746032,-72.9082794189453,-84.1972808837891,,
865852380.952381,-72.2556838989258,-88.2622375488281,,
865858730.15873,-71.1099243164063,-91.3820571899414,,
865865079.365079,-73.4556579589844,-85.0412139892578,,
865871428.571429,-74.0213470458984,-90.0814666748047,,
865877777.777778,-74.8671112060547,-92.1951904296875,,
865884126.984127,-72.8309478759766,-92.2453155517578,,
865890476.190476,-75.0108642578125,-88.4628143310547,,
865896825.396825,-74.585205078125,-92.3198547363281,,
865903174.603175,-75.9548873901367,-86.8843383789063,,
865909523.809524,-75.8624420166016,-85.7905807495117,,
865915873.015873,-74.135498046875,-84.1517181396484,,
865922222.222222,-76.0042114257813,-93.4260025024414,,
865928571.428571,-74.0033111572266,-88.0926284790039,,
865934920.634921,-74.0123977661133,-85.098747253418,,
865941269.84127,-71.9527282714844,-83.9373321533203,,
865947619.047619,-70.7444458007813,-82.4177093505859,,
865953968.253968,-70.887565612793,-83.6904678344727,,
865960317.460317,-72.0622940063477,-89.2725296020508,,
865966666.666667,-77.5083160400391,-97.1332702636719,,
865973015.873016,-69.9138565063477,-77.1642684936523,,
865979365.079365,-69.9310760498047,-86.8764266967773,,
865985714.285714,-71.590446472168,-86.2022171020508,,
865992063.492064,-77.3166961669922,-96.0405120849609,,
865998412.698413,-69.9933319091797,-83.2354431152344,,
866004761.904762,-71.7144317626953,-88.2498092651367,,
866011111.111111,-77.536376953125,-89.0723190307617,,
866017460.31746,-70.8632659912109,-88.6743011474609,,
866023809.52381,-71.4008483886719,-79.8899841308594,,
866030158.730159,-73.9021606445313,-87.1450958251953,,
866036507.936508,-77.2174911499023,-89.6548767089844,,
866042857.142857,-72.4317474365234,-95.1531753540039,,
866049206.349206,-72.7677459716797,-89.7657623291016,,
866055555.555556,-67.4376678466797,-81.7928619384766,,
866061904.761905,-70.0317459106445,-79.2814102172852,,
866068253.968254,-71.3331680297852,-82.7602920532227,,
866074603.174603,-70.0891265869141,-82.233154296875,,
866080952.380952,-67.2483978271484,-78.4944763183594,,
866087301.587302,-67.1964797973633,-85.7560958862305,,
866093650.793651,-68.7017135620117,-77.8219833374023,,
866100000,-70.4811553955078,-87.7586822509766,,
866106349.206349,-70.8872451782227,-84.2509613037109,,
866112698.412698,-75.1488952636719,-85.8175430297852,,
866119047.619048,-66.2282562255859,-87.4484252929688,,
866125396.825397,-66.1589660644531,-79.9938201904297,,
866131746.031746,-69.2531051635742,-84.2052230834961,,
866138095.238095,-70.1050872802734,-81.4230728149414,,
866144444.444444,-71.3278274536133,-86.561653137207,,
866150793.650794,-68.87353515625,-89.2415618896484,,
866157142.857143,-69.3927688598633,-83.149772644043,,
866163492.063492,-69.6613006591797,-89.5732269287109,,
866169841.269841,-68.276611328125,-88.0713500976563,,
866176190.47619,-68.2169952392578,-73.5416717529297,,
866182539.68254,-66.4432601928711,-89.7188034057617,,
866188888.888889,-68.0399703979492,-81.5311660766602,,
866195238.095238,-67.2344055175781,-79.1735229492188,,
866201587.301587,-70.3786315917969,-81.5871429443359,,
866207936.507936,-71.3484268188477,-83.8954467773438,,
866214285.714286,-68.5478744506836,-87.7142639160156,,
866220634.920635,-71.2602081298828,-87.005989074707,,
866226984.126984,-73.4287567138672,-80.8462524414063,,
866233333.333333,-69.9331207275391,-85.6845855712891,,
866239682.539683,-73.0021286010742,-84.6032180786133,,
866246031.746032,-70.4048767089844,-85.4076080322266,,
866252380.952381,-70.4087524414063,-78.7487487792969,,
866258730.15873,-68.8525161743164,-80.9794311523438,,
866265079.365079,-72.3921890258789,-85.8229370117188,,
866271428.571429,-69.5240173339844,-85.6172256469727,,
866277777.777778,-74.2296905517578,-87.4812469482422,,
866284126.984127,-72.7642135620117,-87.7568664550781,,
866290476.190476,-72.806022644043,-90.5741424560547,,
866296825.396825,-72.5341796875,-91.0450973510742,,
866303174.603175,-66.7319488525391,-85.7977294921875,,
866309523.809524,-69.6666946411133,-90.0302810668945,,
866315873.015873,-71.8827056884766,-86.3315124511719,,
866322222.222222,-69.5731048583984,-86.6501388549805,,
866328571.428571,-68.5107574462891,-78.1221771240234,,
866334920.634921,-71.0540084838867,-90.2216491699219,,
866341269.84127,-66.7731475830078,-87.7111434936523,,
866347619.047619,-66.0940170288086,-83.048225402832,,
866353968.253968,-68.2066802978516,-84.0392456054688,,
866360317.460317,-70.630973815918,-80.7370147705078,,
866366666.666667,-65.750846862793,-79.4807281494141,,
866373015.873016,-66.0243377685547,-76.6336212158203,,
866379365.079365,-62.4061470031738,-75.6599273681641,,
866385714.285714,-60.0846252441406,-70.5971527099609,,
866392063.492064,-56.7896423339844,-68.0908126831055,,
866398412.698413,-55.75634765625,-61.384407043457,,
866404761.904762,-52.3055381774902,-57.6167640686035,,
866411111.111111,-50.0896530151367,-55.7868576049805,,
866417460.31746,-47.4161682128906,-51.9923782348633,,
866423809.52381,-43.7926330566406,-49.6047821044922,,
866430158.730159,-42.4848136901855,-46.7183952331543,,
866436507.936508,-39.4488372802734,-42.6847763061523,,
866442857.142857,-37.9399948120117,-40.5956344604492,,
866449206.349206,-35.7177429199219,-38.5764312744141,,
866455555.555556,-33.361026763916,-36.7546424865723,,
866461904.761905,-31.2205715179443,-33.9462814331055,,
866468253.968254,-29.0783309936523,-31.4600601196289,,
866474603.174603,-27.1009922027588,-29.1030979156494,,
866480952.380952,-25.892147064209,-27.3552055358887,,
866487301.587302,-24.2152233123779,-25.8897686004639,,
